"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.254e-06,-3.4432e-08,0.16115,0.083321,2.5129e-05,0.002401,2.9862e-05,0.082823,0.0054323,-0.0021317,-0.0049108,-0.17009,0.048156,26.368,-0.0081448,-0.0081054,0.01625,-2.6171e-06,-2.399e-05,-1.3161e-05,0.43341,0,0,0,1,0,0,0,0.0065
-1.2211e-06,-1.485e-09,0.16115,0.083317,2.5963e-05,-0.013084,3.6693e-05,0.082839,-0.010067,-0.0021377,-0.0049166,-0.1701,0.048148,26.368,-0.0081431,-0.0081052,0.016248,-2.9442e-06,0.00064395,0.00065499,0.4336,0,0,0,1,5.6569e-07,4e-07,4e-07,0.0065
-1.1881e-06,3.1463e-08,0.16115,0.083294,2.6635e-05,-0.02857,4.3694e-05,0.082875,-0.025594,-0.0021438,-0.0049223,-0.17012,0.048139,26.368,-0.0081399,-0.0081065,0.016246,-3.2711e-06,0.0013119,0.0013232,0.43378,0,0,0,1,1.1314e-06,8e-07,8e-07,0.0065
-1.1552e-06,6.4412e-08,0.16115,0.083271,2.7308e-05,-0.044056,5.0695e-05,0.08291,-0.04112,-0.00215,-0.004928,-0.17013,0.04813,26.368,-0.0081366,-0.0081078,0.016244,-3.5981e-06,0.0019798,0.0019913,0.43396,0,0,0,1,1.6971e-06,1.2e-06,1.2e-06,0.0065
-1.1222e-06,9.736e-08,0.16115,0.083248,2.798e-05,-0.059542,5.7696e-05,0.082946,-0.056646,-0.0021561,-0.0049337,-0.17014,0.048122,26.368,-0.0081334,-0.0081091,0.016242,-3.925e-06,0.0026477,0.0026595,0.43415,0,0,0,1,2.2627e-06,1.6e-06,1.6e-06,0.0065
-1.0893e-06,1.3031e-07,0.16115,0.083225,2.8653e-05,-0.075028,6.4697e-05,0.082981,-0.072172,-0.0021622,-0.0049394,-0.17015,0.048113,26.368,-0.0081302,-0.0081104,0.016241,-4.252e-06,0.0033156,0.0033277,0.43433,0,0,0,1,2.8284e-06,2e-06,2e-06,0.0065
-1.0564e-06,1.6326e-07,0.16115,0.083202,2.9325e-05,-0.090514,7.1698e-05,0.083017,-0.087698,-0.0021684,-0.0049451,-0.17016,0.048104,26.368,-0.008127,-0.0081117,0.016239,-4.5789e-06,0.0039835,0.0039959,0.43451,0,0,0,1,3.3941e-06,2.4e-06,2.4e-06,0.0065
-1.0234e-06,1.9621e-07,0.16115,0.083179,2.9998e-05,-0.106,7.8699e-05,0.083052,-0.10322,-0.0021745,-0.0049508,-0.17017,0.048096,26.368,-0.0081237,-0.008113,0.016237,-4.9059e-06,0.0046514,0.004664,0.4347,0,0,0,1,3.9598e-06,2.8e-06,2.8e-06,0.0065
-9.9032e-07,2.2922e-07,0.16115,0.083178,3.6295e-05,-0.12349,9.0181e-05,0.083093,-0.11973,-0.0021806,-0.0049565,-0.17018,0.047945,26.368,-0.0080972,-0.0080899,0.016187,-5.543e-06,0.0053183,0.0053318,0.4394,0,0,0,1,4.5255e-06,3.2e-06,3.2e-06,0.0065
-9.5647e-07,2.6256e-07,0.16115,0.08328,6.885e-05,-0.15036,0.00012258,0.083159,-0.14081,-0.0021869,-0.0049623,-0.17015,0.04713,26.368,-0.0079618,-0.0079527,0.015914,-7.6284e-06,0.0059805,0.0059979,0.46519,0,0,0,1,5.0912e-06,3.6e-06,3.6e-06,0.0065
